z,n,symbol,half_life
0,1,n,613.9
0,4,n,2.6
1,2,H,12.32
1,4,H,5.3
1,5,H,1.55
1,6,H,0.09
2,3,He,0.648
2,4,He,806.7
2,5,He,150
2,6,He,119.1
2,8,He,300
3,2,Li,1.23
3,5,Li,839.9
3,6,Li,178.3
3,8,Li,8.75
4,2,Be,92
4,3,Be,53.22
4,4,Be,5.57
4,6,Be,1.51E+6
4,7,Be,13.76
4,8,Be,21.46
4,9,Be,2.7E-21
4,10,Be,4.35
4,11,Be,0.58
4,12,Be,0.8
5,2,B,801
5,3,B,770
5,4,B,0.54
5,7,B,20.20
5,8,B,17.33
5,9,B,12.5
5,10,B,9.93
5,11,B,100
5,12,B,5.08
5,14,B,2.92
5,15,B,500
5,16,B,600
6,2,C,130
6,3,C,126.5
6,4,C,19.290
6,5,C,20.364
6,8,C,5700
6,9,C,2.449
6,10,C,0.747
6,11,C,193
6,12,C,92
6,13,C,46.3
6,14,C,16.3
6,16,C,6.1
7,3,N,2.5
7,4,N,830
7,5,N,11.000
7,6,N,9.965
7,9,N,7.13
7,10,N,4.173
7,11,N,619
7,12,N,336
7,13,N,134.4
7,14,N,84
7,15,N,23
7,16,N,14.1
7,17,N,52
8,3,O,1.30
8,4,O,72
8,5,O,8.58
8,6,O,70.606
8,7,O,122.24
8,11,O,26.88
8,12,O,13.51
8,13,O,3.42
8,14,O,2.25
8,15,O,97
8,16,O,72
8,18,O,4.5
9,4,F,1.01
9,5,F,910
9,6,F,660
9,7,F,40
9,8,F,64.49
9,9,F,109.77
9,11,F,11.07
9,12,F,4.158
9,13,F,4.23
9,14,F,2.23
9,15,F,382
9,16,F,80
9,17,F,8.2
9,18,F,5.0
9,19,F,0.046
9,20,F,2.5
10,5,Ne,0.59
10,6,Ne,80
10,7,Ne,109.2
10,8,Ne,1672
10,9,Ne,17.22
10,13,Ne,37.25
10,14,Ne,3.38
10,15,Ne,602
10,16,Ne,197
10,17,Ne,31.5
10,18,Ne,20
10,19,Ne,15
10,20,Ne,7.3
10,21,Ne,3.4
10,22,Ne,3.5
10,23,Ne,180
10,24,Ne,60
11,7,Na,0.2
11,8,Na,40
11,9,Na,447.9
11,10,Na,22.49
11,11,Na,2.6018
11,13,Na,14.956
11,14,Na,59.1
11,15,Na,1.07128
11,16,Na,301
11,17,Na,30.5
11,18,Na,44.1
11,19,Na,48
11,20,Na,17.0
11,21,Na,13.2
11,22,Na,8.0
11,23,Na,5.5
11,24,Na,1.8
11,25,Na,180
11,26,Na,60
12,6,Mg,0.12
12,7,Mg,1.14E-4
12,8,Mg,90.4
12,9,Mg,122
12,10,Mg,3.8755
12,11,Mg,11.3046
12,15,Mg,9.458
12,16,Mg,20.915
12,17,Mg,1.30
12,18,Mg,335
12,19,Mg,270
12,20,Mg,86
12,21,Mg,90.5
12,22,Mg,20
12,23,Mg,11.3
12,24,Mg,7.6
12,25,Mg,8
12,27,Mg,180
13,8,Al,35
13,9,Al,91.1
13,10,Al,446
13,11,Al,2.053
13,12,Al,7.183
13,13,Al,7.17E+5
13,15,Al,2.245
13,16,Al,6.56
13,17,Al,3.62
13,18,Al,644
13,19,Al,33.0
13,20,Al,41.7
13,21,Al,56.3
13,22,Al,38.3
13,23,Al,90
13,24,Al,10.7
13,25,Al,9.0
13,26,Al,7.6
13,27,Al,260
13,29,Al,170
13,30,Al,170
14,8,Si,29
14,9,Si,42.3
14,10,Si,141.3
14,11,Si,220
14,12,Si,2.2453
14,13,Si,4.15
14,17,Si,157.24
14,18,Si,157
14,19,Si,6.11
14,20,Si,2.77
14,21,Si,0.78
14,22,Si,0.45
14,23,Si,90
14,24,Si,63
14,25,Si,47.5
14,26,Si,33.0
14,27,Si,20.0
14,28,Si,12.5
14,29,Si,60
14,30,Si,360
15,10,P,30
15,11,P,43.7
15,12,P,260
15,13,P,270.3
15,14,P,4.142
15,15,P,2.498
15,17,P,14.268
15,18,P,25.35
15,19,P,12.43
15,20,P,47.3
15,21,P,5.6
15,22,P,2.31
15,23,P,0.64
15,24,P,0.28
15,25,P,150
15,26,P,101
15,27,P,48.5
15,28,P,36.5
15,29,P,18.5
15,30,P,200
16,10,S,79
16,11,S,15.5
16,12,S,125
16,13,S,188
16,14,S,1.178
16,15,S,2.5534
16,19,S,87.37
16,21,S,5.05
16,22,S,170.3
16,23,S,11.5
16,24,S,8.8
16,25,S,1.99
16,26,S,1.016
16,27,S,265
16,28,S,100
16,29,S,68
16,30,S,50
17,12,Cl,20
17,13,Cl,30
17,14,Cl,190
17,15,Cl,298
17,16,Cl,2.511
17,17,Cl,1.5266
17,19,Cl,3.013E+5
17,21,Cl,37.230
17,22,Cl,56.2
17,23,Cl,1.35
17,24,Cl,38.4
17,25,Cl,6.8
17,26,Cl,3.13
17,27,Cl,0.56
17,28,Cl,413
17,29,Cl,232
17,30,Cl,101
17,32,Cl,170
18,12,Ar,10
18,13,Ar,15.0
18,14,Ar,98
18,15,Ar,173.0
18,16,Ar,843.8
18,17,Ar,1.7756
18,19,Ar,35.011
18,21,Ar,268
18,23,Ar,109.61
18,24,Ar,32.9
18,25,Ar,5.37
18,26,Ar,11.87
18,27,Ar,21.48
18,28,Ar,8.4
18,29,Ar,1.23
18,30,Ar,416
18,31,Ar,170
18,32,Ar,106
18,35,Ar,620
19,12,K,10
19,14,K,25
19,15,K,25
19,16,K,178
19,17,K,341
19,18,K,1.225
19,19,K,7.651
19,21,K,1.248E+9
19,23,K,12.355
19,24,K,22.3
19,25,K,22.13
19,26,K,17.81
19,27,K,105
19,28,K,17.50
19,29,K,6.8
19,30,K,1.26
19,31,K,472
19,32,K,365
19,33,K,110
19,34,K,30
19,35,K,10
20,14,Ca,35
20,15,Ca,25.7
20,16,Ca,101.2
20,17,Ca,181.1
20,18,Ca,443.76
20,19,Ca,860.3
20,21,Ca,9.94E+4
20,25,Ca,162.61
20,27,Ca,4.536
20,28,Ca,2.9E19
20,29,Ca,8.718
20,30,Ca,13.45
20,31,Ca,10.0
20,32,Ca,4.6
20,33,Ca,461
20,34,Ca,107
20,35,Ca,22
20,36,Ca,11
20,37,Ca,620
20,38,Ca,620
21,18,Sc,300
21,19,Sc,182.3
21,20,Sc,596.3
21,21,Sc,680.79
21,22,Sc,3.891
21,23,Sc,3.97
21,25,Sc,83.79
21,26,Sc,3.3492
21,27,Sc,43.71
21,28,Sc,57.18
21,29,Sc,102.5
21,30,Sc,12.4
21,31,Sc,8.2
21,32,Sc,2.6
21,33,Sc,526
21,34,Sc,96
21,35,Sc,26
21,36,Sc,13
21,37,Sc,12
22,16,Ti,120
22,17,Ti,28.5
22,18,Ti,52.4
22,19,Ti,81.9
22,20,Ti,208.65
22,21,Ti,509
22,22,Ti,59.1
22,23,Ti,184.8
22,29,Ti,5.76
22,30,Ti,1.7
22,31,Ti,32.7
22,32,Ti,2.1
22,33,Ti,1.3
22,34,Ti,200
22,35,Ti,98
22,36,Ti,58
22,37,Ti,28.5
22,38,Ti,22
22,39,Ti,15
22,40,Ti,620
22,41,Ti,360
23,19,V,55
23,20,V,79.3
23,21,V,111
23,22,V,547
23,23,V,422.50
23,24,V,32.6
23,25,V,15.974
23,26,V,330
23,27,V,2.65E+17
23,29,V,3.743
23,30,V,1.543
23,31,V,49.8
23,32,V,6.54
23,33,V,216
23,34,V,0.32
23,35,V,191
23,36,V,97
23,37,V,122
23,38,V,48.3
23,39,V,33.6
23,40,V,17
23,41,V,15
23,42,V,360
23,43,V,360
23,44,V,620
24,18,Cr,13.3
24,19,Cr,21.2
24,20,Cr,42.8
24,21,Cr,60.9
24,22,Cr,0.26
24,23,Cr,500
24,24,Cr,21.56
24,25,Cr,42.3
24,26,Cr,1.3E+18
24,27,Cr,27.704
24,31,Cr,3.497
24,32,Cr,5.94
24,33,Cr,21.1
24,34,Cr,7.0
24,35,Cr,0.74
24,36,Cr,0.49
24,37,Cr,234
24,38,Cr,206
24,39,Cr,129
24,40,Cr,42.9
24,41,Cr,27
24,42,Cr,24
24,44,Cr,360
24,45,Cr,620
24,46,Cr,620
25,19,Mn,105
25,21,Mn,36.2
25,22,Mn,100
25,23,Mn,157.7
25,24,Mn,382
25,25,Mn,283.19
25,26,Mn,46.2
25,27,Mn,5.591
25,28,Mn,3.7E+6
25,29,Mn,312.20
25,31,Mn,2.5789
25,32,Mn,85.4
25,33,Mn,3.0
25,34,Mn,4.59
25,35,Mn,0.28
25,36,Mn,0.709
25,37,Mn,92
25,38,Mn,0.275
25,39,Mn,90
25,40,Mn,92
25,41,Mn,65
25,42,Mn,47
25,43,Mn,28
25,44,Mn,16
25,45,Mn,19.9
25,47,Mn,620
26,19,Fe,1.89
26,20,Fe,13.0
26,21,Fe,21.8
26,22,Fe,45.5
26,23,Fe,64.7
26,24,Fe,152.0
26,25,Fe,305
26,26,Fe,8.275
26,27,Fe,8.51
26,29,Fe,2.744
26,33,Fe,44.490
26,34,Fe,2.62E+6
26,35,Fe,5.98
26,36,Fe,68
26,37,Fe,6.1
26,38,Fe,2.0
26,39,Fe,0.81
26,40,Fe,440
26,41,Fe,0.6
26,42,Fe,188
26,43,Fe,110
26,44,Fe,65
26,45,Fe,35.7
26,46,Fe,150
26,47,Fe,12.9
26,48,Fe,8.2
26,49,Fe,620
27,23,Co,38.8
27,24,Co,68.8
27,25,Co,104
27,26,Co,240
27,27,Co,193.28
27,28,Co,17.53
27,29,Co,77.236
27,30,Co,271.74
27,31,Co,70.86
27,33,Co,1925.28
27,34,Co,1.649
27,35,Co,1.54
27,36,Co,27.4
27,37,Co,0.30
27,38,Co,1.16
27,39,Co,0.20
27,40,Co,0.425
27,41,Co,0.20
27,42,Co,227
27,43,Co,112
27,44,Co,80
27,45,Co,59.9
27,46,Co,40.7
27,47,Co,31.3
27,48,Co,30
27,49,Co,21.7
27,50,Co,13.0
28,20,Ni,2.1
28,21,Ni,7.5
28,22,Ni,18.5
28,23,Ni,23.8
28,24,Ni,40.8
28,25,Ni,55.2
28,26,Ni,114.2
28,27,Ni,203.7
28,28,Ni,6.075
28,29,Ni,35.60
28,31,Ni,7.6E+4
28,35,Ni,101.2
28,37,Ni,2.5175
28,38,Ni,54.6
28,39,Ni,21
28,40,Ni,29
28,41,Ni,11.4
28,42,Ni,6.0
28,43,Ni,2.56
28,44,Ni,1.57
28,45,Ni,0.84
28,46,Ni,507.7
28,47,Ni,344
28,48,Ni,0.238
28,49,Ni,158.9
28,50,Ni,0.11
28,51,Ni,43.0
28,52,Ni,24
29,24,Cu,130
29,25,Cu,75
29,26,Cu,55.9
29,27,Cu,80.4
29,28,Cu,196.3
29,29,Cu,3.204
29,30,Cu,81.5
29,31,Cu,23.7
29,32,Cu,3.339
29,33,Cu,9.67
29,35,Cu,12.7006
29,37,Cu,5.120
29,38,Cu,61.83
29,39,Cu,30.9
29,40,Cu,2.85
29,41,Cu,44.5
29,42,Cu,19.4
29,43,Cu,6.63
29,44,Cu,4.2
29,45,Cu,1.63
29,46,Cu,1.224
29,47,Cu,0.641
29,48,Cu,469.8
29,49,Cu,335
29,50,Cu,241.0
29,51,Cu,113.6
29,52,Cu,73.2
29,53,Cu,33
30,24,Zn,1.59
30,25,Zn,19.8
30,26,Zn,32.4
30,27,Zn,40
30,28,Zn,86.7
30,29,Zn,178.6
30,30,Zn,2.38
30,31,Zn,89.1
30,32,Zn,9.193
30,33,Zn,38.47
30,35,Zn,243.93
30,39,Zn,56.4
30,40,Zn,3.8E18
30,41,Zn,2.42
30,42,Zn,46.5
30,43,Zn,24.5
30,44,Zn,95.6
30,45,Zn,10.2
30,46,Zn,5.7
30,47,Zn,2.08
30,48,Zn,1.47
30,49,Zn,0.746
30,50,Zn,561.9
30,51,Zn,0.32
30,52,Zn,166
30,53,Zn,117
30,54,Zn,53.6
30,55,Zn,637
31,28,Ga,43
31,29,Ga,70
31,30,Ga,167
31,31,Ga,116.121
31,32,Ga,32.4
31,33,Ga,2.627
31,34,Ga,15.2
31,35,Ga,9.49
31,36,Ga,3.2617
31,37,Ga,67.71
31,39,Ga,21.14
31,41,Ga,14.10
31,42,Ga,4.86
31,43,Ga,8.12
31,44,Ga,126
31,45,Ga,32.6
31,46,Ga,13.2
31,47,Ga,5.09
31,48,Ga,2.848
31,49,Ga,1.9
31,50,Ga,1.217
31,51,Ga,0.600
31,52,Ga,308.1
31,53,Ga,95.2
31,54,Ga,92
31,55,Ga,43
31,56,Ga,634
32,27,Ge,13.3
32,28,Ge,110
32,29,Ge,44
32,30,Ge,129
32,31,Ge,150
32,32,Ge,63.7
32,33,Ge,30.9
32,34,Ge,2.26
32,35,Ge,18.9
32,36,Ge,270.93
32,37,Ge,39.05
32,39,Ge,11.43
32,43,Ge,82.78
32,45,Ge,11.211
32,46,Ge,88.0
32,47,Ge,18.98
32,48,Ge,29.5
32,49,Ge,7.6
32,50,Ge,4.0
32,51,Ge,1.85
32,52,Ge,0.954
32,53,Ge,503
32,54,Ge,226
32,55,Ge,0.14
32,56,Ge,300
33,30,As,43
33,31,As,69.0
33,32,As,128
33,33,As,95.77
33,34,As,42.5
33,35,As,151.6
33,36,As,15.2
33,37,As,52.6
33,38,As,65.30
33,39,As,26.0
33,40,As,80.30
33,41,As,17.77
33,43,As,26.24
33,44,As,38.79
33,45,As,90.7
33,46,As,9.01
33,47,As,15.2
33,48,As,33.3
33,49,As,19.1
33,50,As,13.4
33,51,As,4.2
33,52,As,2.021
33,53,As,0.945
33,54,As,484
33,55,As,0.20
34,29,Se,13.2
34,31,Se,33
34,32,Se,42
34,33,Se,133
34,34,Se,35.5
34,35,Se,27.4
34,36,Se,41.1
34,37,Se,4.74
34,38,Se,8.40
34,39,Se,7.15
34,41,Se,119.78
34,45,Se,3.27E+5
34,47,Se,18.45
34,48,Se,9.6E+19
34,49,Se,22.3
34,50,Se,3.26
34,51,Se,32.9
34,52,Se,14.3
34,53,Se,5.50
34,54,Se,1.53
34,55,Se,0.43
34,56,Se,195
34,57,Se,0.27
34,60,Se,150
34,61,Se,392
35,33,Br,35
35,34,Br,24
35,35,Br,79.1
35,36,Br,21.4
35,37,Br,78.6
35,38,Br,3.4
35,39,Br,25.4
35,40,Br,96.7
35,41,Br,16.2
35,42,Br,57.04
35,43,Br,6.45
35,45,Br,17.68
35,47,Br,35.282
35,48,Br,2.374
35,49,Br,31.76
35,50,Br,2.90
35,51,Br,55.1
35,52,Br,55.68
35,53,Br,16.34
35,54,Br,4.357
35,55,Br,1.91
35,56,Br,0.543
35,57,Br,0.314
35,58,Br,102
35,59,Br,70
35,60,Br,150
35,61,Br,150
36,31,Kr,7.4
36,32,Kr,21.6
36,33,Kr,28
36,34,Kr,40
36,35,Kr,94.9
36,36,Kr,17.1
36,37,Kr,27.3
36,38,Kr,11.50
36,39,Kr,4.60
36,40,Kr,14.8
36,41,Kr,71.25
36,43,Kr,35.04
36,45,Kr,2.29E+5
36,49,Kr,10.739
36,51,Kr,76.3
36,52,Kr,2.825
36,53,Kr,3.15
36,54,Kr,32.32
36,55,Kr,8.57
36,56,Kr,1.840
36,57,Kr,1.286
36,58,Kr,212
36,59,Kr,0.114
36,60,Kr,80
36,61,Kr,63
36,62,Kr,43
36,63,Kr,13
36,64,Kr,7
36,65,Kr,635
37,35,Rb,103
37,36,Rb,81
37,37,Rb,64.776
37,38,Rb,19.0
37,39,Rb,36.5
37,40,Rb,3.78
37,41,Rb,17.66
37,42,Rb,22.9
37,43,Rb,33.4
37,44,Rb,4.572
37,45,Rb,1.2575
37,46,Rb,86.2
37,47,Rb,32.82
37,49,Rb,18.642
37,50,Rb,4.97E+10
37,51,Rb,17.773
37,52,Rb,15.32
37,53,Rb,158
37,54,Rb,58.2
37,55,Rb,4.48
37,56,Rb,5.84
37,57,Rb,2.702
37,58,Rb,377.7
37,59,Rb,203
37,60,Rb,169.1
37,61,Rb,115
37,62,Rb,54
37,63,Rb,52
37,64,Rb,32
37,65,Rb,37
37,66,Rb,23
38,35,Sr,25
38,36,Sr,27
38,37,Sr,88
38,38,Sr,7.89
38,39,Sr,9.0
38,40,Sr,160
38,41,Sr,2.25
38,42,Sr,106.3
38,43,Sr,22.3
38,44,Sr,25.35
38,45,Sr,32.41
38,47,Sr,64.849
38,51,Sr,50.563
38,52,Sr,28.91
38,53,Sr,9.65
38,54,Sr,2.611
38,55,Sr,7.43
38,56,Sr,75.3
38,57,Sr,23.90
38,58,Sr,1.07
38,59,Sr,429
38,60,Sr,0.653
38,61,Sr,0.269
38,62,Sr,200
38,63,Sr,118
38,64,Sr,69
38,65,Sr,53
38,66,Sr,53
38,67,Sr,39
38,68,Sr,20
38,69,Sr,395
39,37,Y,200
39,38,Y,57
39,39,Y,53
39,40,Y,14.8
39,41,Y,30.1
39,42,Y,70.4
39,43,Y,8.30
39,44,Y,7.08
39,45,Y,39.5
39,46,Y,2.68
39,47,Y,14.74
39,48,Y,79.8
39,49,Y,106.626
39,51,Y,64.05
39,52,Y,58.51
39,53,Y,3.54
39,54,Y,10.18
39,55,Y,18.7
39,56,Y,10.3
39,57,Y,5.34
39,58,Y,3.75
39,59,Y,0.548
39,60,Y,1.484
39,61,Y,732
39,62,Y,0.45
39,63,Y,0.36
39,64,Y,0.23
39,65,Y,197
39,66,Y,107
39,67,Y,79
39,68,Y,33.5
39,69,Y,30
39,70,Y,25
40,38,Zr,170
40,39,Zr,56
40,40,Zr,4.6
40,41,Zr,5.5
40,42,Zr,32
40,43,Zr,42
40,44,Zr,25.8
40,45,Zr,7.86
40,46,Zr,16.5
40,47,Zr,1.68
40,48,Zr,83.4
40,49,Zr,78.41
40,53,Zr,1.61E+6
40,55,Zr,64.032
40,56,Zr,2.0E+19
40,57,Zr,16.749
40,58,Zr,30.7
40,59,Zr,2.1
40,60,Zr,7.1
40,61,Zr,2.3
40,62,Zr,2.9
40,63,Zr,1.3
40,64,Zr,1.2
40,65,Zr,0.66
40,66,Zr,180
40,67,Zr,146
40,68,Zr,77.4
40,69,Zr,56
40,70,Zr,37.5
40,71,Zr,24.0
40,72,Zr,30
41,40,Nb,200
41,41,Nb,50
41,42,Nb,3.9
41,43,Nb,9.8
41,44,Nb,20.5
41,45,Nb,88
41,46,Nb,3.7
41,47,Nb,14.50
41,48,Nb,2.03
41,49,Nb,14.60
41,50,Nb,6.8E+2
41,51,Nb,3.47E+7
41,53,Nb,2.03E+4
41,54,Nb,34.991
41,55,Nb,23.35
41,56,Nb,72.1
41,57,Nb,2.86
41,58,Nb,15.0
41,59,Nb,1.4
41,60,Nb,7.1
41,61,Nb,4.3
41,62,Nb,1.5
41,63,Nb,4.9
41,64,Nb,2.91
41,65,Nb,1.02
41,66,Nb,300
41,67,Nb,198
41,68,Nb,108
41,69,Nb,82
41,70,Nb,54
41,71,Nb,33
41,72,Nb,32
41,73,Nb,17
41,74,Nb,23
42,39,Mo,450
42,40,Mo,?
42,41,Mo,6
42,42,Mo,2.3
42,43,Mo,3.2
42,44,Mo,19.1
42,45,Mo,14.1
42,46,Mo,8.0
42,47,Mo,2.11
42,48,Mo,5.56
42,49,Mo,15.49
42,51,Mo,4.0E+3
42,57,Mo,65.924
42,58,Mo,7.01E+18
42,59,Mo,14.61
42,60,Mo,11.3
42,61,Mo,67.5
42,62,Mo,60
42,63,Mo,36.3
42,64,Mo,8.73
42,65,Mo,3.5
42,66,Mo,1.09
42,67,Mo,0.61
42,68,Mo,0.296
42,69,Mo,186
42,70,Mo,120
42,71,Mo,80
42,72,Mo,58
42,73,Mo,45.5
42,74,Mo,32
42,75,Mo,22
42,76,Mo,19
43,42,Tc,100
43,43,Tc,55
43,44,Tc,2.2
43,45,Tc,6.4
43,46,Tc,12.8
43,47,Tc,49.2
43,48,Tc,3.14
43,49,Tc,4.25
43,50,Tc,2.75
43,51,Tc,293
43,52,Tc,20.0
43,53,Tc,4.28
43,54,Tc,4.21E+6
43,55,Tc,4.2E+6
43,56,Tc,2.111E+5
43,57,Tc,15.65
43,58,Tc,14.22
43,59,Tc,5.28
43,60,Tc,54.2
43,61,Tc,18.3
43,62,Tc,7.64
43,63,Tc,35.6
43,64,Tc,21.2
43,65,Tc,5.17
43,66,Tc,0.91
43,67,Tc,0.900
43,68,Tc,290
43,69,Tc,271
43,70,Tc,152
43,71,Tc,100
43,72,Tc,78
43,73,Tc,57
43,74,Tc,44.5
43,75,Tc,30
43,76,Tc,22
43,77,Tc,21
43,78,Tc,22
44,41,Ru,450
44,42,Ru,438
44,44,Ru,1.2
44,45,Ru,1.32
44,46,Ru,11.7
44,47,Ru,8.0
44,48,Ru,3.65
44,49,Ru,59.7
44,50,Ru,51.8
44,51,Ru,1.643
44,53,Ru,2.83
44,59,Ru,39.247
44,61,Ru,4.439
44,62,Ru,371.8
44,63,Ru,3.75
44,64,Ru,4.55
44,65,Ru,34.4
44,66,Ru,12.04
44,67,Ru,2.12
44,68,Ru,1.75
44,69,Ru,0.80
44,70,Ru,0.54
44,71,Ru,318
44,72,Ru,204
44,73,Ru,151
44,74,Ru,99
44,75,Ru,69.5
44,76,Ru,45
44,77,Ru,29
44,78,Ru,25
44,79,Ru,19
44,80,Ru,15
45,44,Rh,120
45,45,Rh,29
45,46,Rh,1.47
45,47,Rh,4.66
45,48,Rh,12.2
45,49,Rh,70.6
45,50,Rh,5.02
45,51,Rh,9.90
45,52,Rh,30.7
45,53,Rh,8.72
45,54,Rh,16.1
45,55,Rh,20.5
45,56,Rh,3.3
45,57,Rh,207.3
45,59,Rh,42.3
45,60,Rh,35.341
45,61,Rh,30.07
45,62,Rh,21.7
45,63,Rh,16.8
45,64,Rh,80.8
45,65,Rh,3.35
45,66,Rh,11
45,67,Rh,3.6
45,68,Rh,2.80
45,69,Rh,1.85
45,70,Rh,0.99
45,71,Rh,0.68
45,72,Rh,0.44
45,73,Rh,286
45,74,Rh,171
45,75,Rh,132
45,76,Rh,151
45,77,Rh,300
45,78,Rh,42.2
45,79,Rh,30
45,80,Rh,26.5
45,81,Rh,19
45,82,Rh,20
46,46,Pd,1.0
46,47,Pd,1.00
46,48,Pd,9.0
46,49,Pd,5
46,50,Pd,122
46,51,Pd,3.10
46,52,Pd,17.7
46,53,Pd,21.4
46,54,Pd,3.63
46,55,Pd,8.47
46,57,Pd,16.991
46,61,Pd,6.5E+6
46,63,Pd,13.59
46,65,Pd,23.4
46,66,Pd,21.04
46,67,Pd,93
46,68,Pd,2.42
46,69,Pd,25
46,70,Pd,11.8
46,71,Pd,4.3
46,72,Pd,1.9
46,73,Pd,0.92
46,74,Pd,492
46,75,Pd,285
46,76,Pd,175
46,77,Pd,109
46,78,Pd,38
46,79,Pd,57
46,80,Pd,48.5
46,81,Pd,38
46,82,Pd,35
46,83,Pd,31
47,46,Ag,228
47,47,Ag,26
47,48,Ag,1.75
47,49,Ag,4.40
47,50,Ag,25.5
47,51,Ag,47.5
47,52,Ag,124
47,53,Ag,2.01
47,54,Ag,11.1
47,55,Ag,12.9
47,56,Ag,65.7
47,57,Ag,69.2
47,58,Ag,41.29
47,59,Ag,23.96
47,61,Ag,2.382
47,63,Ag,24.56
47,64,Ag,7.45
47,65,Ag,3.130
47,66,Ag,5.37
47,67,Ag,4.6
47,68,Ag,20.0
47,69,Ag,230
47,70,Ag,72.8
47,71,Ag,3.76
47,72,Ag,2.1
47,73,Ag,1.23
